Família;Produtos;Descrição;Qtd Varejo Reg/Nac;VENDAS EM SP;Participação SP no Varejo
SO;PH432;TWS WF 200 PULSE PRETO, BATERIA DE LONGA DURAÇÃO DE ATÉ 20 HORAS   ;402;10;2,5%
ME;PD988;;393;152;38,7%
AC;BO207;;389;0;0,0%
AC;AC027;MOUSE PAD SLIM CAIXA COM 20 UNIDADES PRETO   ;388;85;21,9%
EP;GO018;MIXER DUO TURBO 220V | 200W DE POTÊNCIA | 2 VELOCIDADES | LÂMINAS DE AÇO INOX | ACOMPANHA COPO DOSADOR DE 700ML | DESIGN ERGONÔMICO | CORPO DESMONTÁVEL | MULTI HOME   ;387;138;35,7%
AC;TC311;Teclado Gamer Warrior Mecânico Royal Precision, 60%, Blue Switch, ABNT2, RGB - Artic Edition   ;384;331;86,2%
NB;NB411;TABLET KID PAD ROSA 64 GB   ;383;9;2,3%
AC;TSB194;MOCHILA MOTOR TARGUS PARA NOTEBOOKS 15.6 POLEGADAS 1 COMPARTIMENTO ACOLCHOADO PARA NOTEBOOKS 1 COMPARTIMENTO PRINCIPAL 1 COMPARTIMENTO PARA ACESSÓRIOS FEITO DE POLYESTER RESISTENTE A AGUA   ;373;232;62,2%
AC;AC376;SUPORTE PARA NOTEBOOK REGULAVEL EM METAL PRETO   ;367;110;30,0%
AC;AC377;SUPORTE PARA NOTEBOOK REGULAVEL EM PLASTICO PRETO   ;367;207;56,4%
NB;NB418;TABLET PRINCESAS 64 GB   ;367;209;56,9%
AC;AC285;APRESENTADOR SEM FIO PEN MULTI PS100 COM LASER POINTER VERMELHO, CONEXÃO USB COM ALCANCE DE 10m E PILHA INCLUSA.   ;354;128;36,2%
AC;AC378;SUPORTE PARA NOTEBOOK REGULAVEL PORTATIL EM ALUMINIO PRATA   ;353;26;7,4%
BR;BR373;FLAT BALL AIR SOCCER   ;351;101;28,8%
BR;BR2201;MICKEY E AMIGOS PELÚCIAS COM MECANISMO DISPLAY 12PCS   ;348;180;51,7%
RE;GS0641;RECEPTOR DE SINAL DIGITAL EAF NAGRA   ;340;0;0,0%
VT;40V35RS;;333;0;0,0%
SO;WR204;SMARTWATCH MULTI M2 AMOLED PRETO   ;329;7;2,1%
AC;RF008;Refil De Tinta Para Impressoras Epson T664 100ML Cor Amarelo - RF008   ;327;35;10,7%
VT;TB033M;TV TOSHIBA 75 POL 4K DLED 75C350NS VIDAA   ;325;2;0,6%
AC;WI458;CABO TIPO C 2M BRANCO   ;324;48;14,8%
AC;RF007;Refil De Tinta Para Impressoras Epson T664 100ML Cor Magenta - RF007   ;323;20;6,2%
EP;EB173;SECADOR DE CABELO ESSENCIAL 127V | 1900W DE POTÊNCIA | 3 TEMPERATURAS | 2 VELOCIDADES | JATO DE AR FRIO | BOCAL DIRECIONADOR | ALÇA PARA PENDURAR | MULTI CARE   ;323;144;44,6%
SO;WR203;SMARTWATCH MULTI L2 ROSE   ;320;14;4,4%
AC;TC314;Teclado Gamer Warrior Mecânico Royal Precision, 60%, Blue Switch, ABNT2, RGB - Preto e Branco   ;314;286;91,1%
AC;WI457;CABO TIPO C 2M PRETO   ;312;24;7,7%
AC;TC301;COMBO SEM FIO CS1200 BLUETOOTH APOIO DE PULSO SILENCIOSO 3200DPI AJUSTAVEL PT   ;306;153;50,0%
AC;RF006;Refil De Tinta Para Impressoras Epson T664 100ML Cor Ciano - RF006   ;302;20;6,6%
AC;CB174;CARREGADOR PORTÁTIL (POWER BANK) 20.000 mAh COM LUZ INDICADOR DE BATERIA   ;299;14;4,7%
AC;AC076;LEITOR DE CARTÃO DE MEMÓRIA UNIVERSAL USB 2.0 BRANCO   ;298;35;11,7%
EP;EB129;CORTADOR DE CABELO 4 EM 1 220V   ;296;0;0,0%
EP;GO229;AIR FRYER 3.5L 127V | 1350W DE POTÊNCIA | FUNÇÃO 4 EM 1: ASSA, FRITA, TOSTA E GRATINA | COM GRADE ANTIADERENTE | SELETOR DE TEMPERATURA E TIMER SONORO DE 60 MINUTOS | PRÁTICA E SAUDÁVEL | MULTI HOME   ;289;268;92,7%
AC;AC066;MOUSE PAD SLIM CAIXA COM 40 UNIDADES CORES SORTIDAS   ;288;24;8,3%
AC;MO403;MOUSE SEM FIO MS750 USB 2.4GHZ + BLUETOOTH RECARREGAVEL SILENCIOSO 6 BOTÕES E DPI AJUSTÁVEL 800-1600 PRETO   ;287;24;8,4%
PC;PC137L;;279;279;100,0%
BR;BR2437;PELÚCIA GARFIELD BEBÊ 20CM   ;276;180;65,2%
SO;PH435;HEADPHONE BLUETOOTH PULSE BRANCO HB300   ;264;134;50,8%
AC;WI455;CABO LIGHTNING 2M PRETO   ;264;12;4,5%
ME;MC152;4X1 ADAPT USB DUAL DRIVE+ADAPT SD+CARTAO MEMORIA UHS1 C10 64GB   ;262;44;16,8%
AC;AC700;;258;237;91,9%
AC;WI443;CABO TIPO C 1.2M PRETO   ;258;0;0,0%
VT;32V35RS;TV TOSHIBA 32POL HD 32V35RS VIDAA   ;252;0;0,0%
EP;GO019;MIXER DUO TURBO 3 EM 1 127V | 200W DE POTÊNCIA| 3 EM 1: MIXER, PROCESSADOR E BATEDOR DE CLARAS | LÂMINA EM AÇO INOX | 2 VELOCIDADES | MINIPROCESSADOR DE 500ML E COPO DOSADOR DE 700ML | MULTI HOME   ;252;116;46,0%
IC;HIM324U082A;;250;0;0,0%
IC;HIM324S162A;;250;0;0,0%
AC;CB173;CARREGADOR PORTÁTIL (POWER BANK) 10.000 mAh COM LUZ INDICADORA DE BATERIA   ;246;180;73,2%
AC;MO390;;244;131;53,7%
NB;NB416;TABLET FROZEN II 64 GB   ;242;20;8,3%
BR;BR1969;JOGO TAPALAVRAS   ;230;44;19,1%
AC;AC445;HUB USB TIPO-C 4 PORTAS PRETO   ;228;22;9,6%
VT;TB036M;TV TOSHIBA 65POL 4K QLED 65C450NS GOOGLE   ;228;0;0,0%
AC;PH501;HEADSET COM FIO HF1100 CABO USB + ADAPTADOR USB-C CABO DE 150 CM COM CONTROLE DE VOLUME INTEGRADO ACOLCHOAMENTO ULTRA COMFORTO DRIVER DE 40MM ACABAMENTO REFORÇADO   ;223;24;10,8%
AC;CB170;CARREGADOR DE PAREDE USB A PRETO 5W   ;221;96;43,4%
SO;PH355;EARPHONE EARBUD PILSE START BRANCO   ;218;0;0,0%
PC;UB830;All in One Ultra, com Windows 11 Home, Intel Celeron 4GB 120GB SSD, Tela 23,8'' FHD + Microsoft 365 Personal + 1TB na Nuvem Branco - UB830   ;217;102;47,0%
AC;MO342;MOUSE SEM FIO MS300 CONEXÃO USB 1200DPI 3 BOTÕES DESIGN SLIM CLIQUE SILENCIOSO ALIMENTAÇÃO 1 PILHA AA(INCLUSA) ATÉ 12 MESES DE DURAÇÃO CINZA   ;213;20;9,4%
AC;SP172;CAIXAS DE SOM 2.1 C/ SUBWOOFER 14W RMS ALIMENTAÇÃO USB CONEXÃO P2 CONTROLE DE VOLUME E GRAVES PRETO   ;209;207;99,0%
ME;MC151;4X1 ADAPT USB DUAL DV+SD+CART U1 C10 32GB   ;208;192;92,3%
BR;BR2483;HOT WHEELS CARROS TUBARÃO COM LUZ E SOM   ;204;204;100,0%
VT;TB034M;TV TOSHIBA 50POL 4K QLED 50C450NS GOOGLE   ;203;0;0,0%
EP;GO138;FOGAO ELETRICO EASY COOK DUO 127V   ;201;4;2,0%
SO;WR205;SMARTWATCH MULTI M2 AMOLED ROSE   ;201;5;2,5%
PG;MN801DP;Monitor Multi 24 Pol. 60Hz Office Ultra - MN801DP Display Port   ;200;0;0,0%
IC;HKM128S22A;;200;0;0,0%
BR;BR2489;Dreameez Fashion Doll Fashionista 29cm   ;200;0;0,0%
AC;WI440;CABO MICRO USB 1.2M BRANCO   ;199;12;6,0%
AC;TC269;KIT COMBO TECLADO E MOUSE SEM FIO CS100 DESIGN SLIM SEM LOGO EMBALAGEM PARDA 12 TECLAS MULTIMÍDIA CONEXÃO 2,4GHz USB 1600DPI PRETO   ;199;6;3,0%
AC;WI373;CONVERSOR ADAPTADOR USB TIPO C PARA HDMI 4K ULTRA HD   ;195;9;4,6%
AC;TBB581;MOCHILA SAFIRE PLUS TARGUS PARA NOTEBOOKS 15.6 POLEGADAS 1 COMPARTIMENTO PRINCIPAL ACOLCHOADO PARA NOTEBOOKS 1 COMPARTIMENTO PARA ACESSÓRIOS FEITO DE TECIDO RESISTENTE A AGUA PRETO   ;193;183;94,8%
BR;BR2061;SHARK ATTACK - TUBARÃO R/C   ;181;12;6,6%
AC;TC202;COMBO SEM FIO CS900 USB 4BOT 1600DPI AJUSTAVEL COMPACTO SILENCIOSO PT   ;180;106;58,9%
DC;DJI033;Drone DJI Mini 3 Fly More Combo (Com tela) BR   ;180;13;7,2%
BR;BR2365;FIGURAS BRAWL STARS 2 PACK SORTIDO   ;180;0;0,0%
AC;CVR617;MOCHILA GROOVE TARGUS PARA NOTEBOOKS 17 POLEGADAS 1 COMPARTIMENTO PRINCIPAL 1 COMPARTIMENTO ACOLCHOADO PARA NOTEBOOKS 1 COMPARTIMENTO PARA ACESSÓRIOS FEITA DE NYLON COM FUNDO DE PVC RESISTENTE A AGUA   ;180;180;100,0%
IC;HKM128S21A;SSD HIKVISION 2.5 SATA 128 GB   ;177;8;4,5%
EP;CE076;MINI PROCESSADOR RÁPIDO CHEF 127V | 100W DE POTÊNCIA | FACILIDADE NO PREPARO | ALTA VELOCIDADE | TECNOLOGIA SAFE TOUCH | BOTÃO PULSAR | LÂMINA EM AÇO INOX | PÉS ANTIDERRAPANTES | MULTI HOME   ;176;42;23,9%
AC;CN600;MOCHILA TARGUS CLASSIC ECOSMART PARA NOTEBOOK 16 POLEGADAS PRETO   ;173;156;90,2%
AC;TC310;KIT COMBO TECLADO E MOUSE COM FIO CF300 12 TECLAS MULTIMÍDIA CONEXÃO USB CABO DE 180CM 1200DPI COM CLIQUE SILENCIOSO TECLAS CHOCOLATE MACIAS E SILENCIOSAS PRETO   ;173;45;26,0%
BR;BR2255;CROCKY ATTACK - CROCODILO DE CONTROLE REMOTO   ;169;12;7,1%
EF;LQ651;LIQUIDIFICADOR MULTI TURBO LQ650 650W 3 VELOCIDADES 2,3 LITROS 127V 60HZ PRETO   ;168;156;92,9%
BR;BR2375;;168;0;0,0%
BR;BR2104;PELÚCIA BOB ESPONJA - PATRICK 30CM   ;166;22;13,3%
AC;WI449;CABO MICRO USB 1.2M PRETO   ;165;0;0,0%
DC;DJI071;Drone DJI Neo 2 Fly More Combo (Sem tela) BR   ;165;15;9,1%
EP;HO463;FERRO DE PASSAR A VAPOR ROXO 220V 2000W COM BASE CERÂMICA, VAPOR EXTRA, FUNÇÃO SPRAY, BASE SALVA BOTÕES, CABO GIRATÓRIO 360° E RESERVATÓRIO COM INDICADOR DE NÍVEL   ;165;0;0,0%
ME;MC154;4X1: ADAPT USB DUAL DRIVE/OTG TIPO C+ADAPT SD+CARTAO MEMORIA UHS3 C10 256GB   ;164;113;68,9%
BR;BR1195;;164;158;96,3%
BR;BR2087;PROJETOR DE DESENHOS HOT WHEELS   ;164;6;3,7%
NB;NB359;TABLET M10 WIFI 6/128GB CINZA   ;162;0;0,0%
VT;TB037M;TV TOSHIBA 75POL 4K QLED 75C450NS GOOGLE   ;162;18;11,1%
VD;TL056M;TV 43 POL FHD ROKU MULTI   ;161;10;6,2%
VD;PJ300N;Projetor Smart 300 ANSI lumens   ;160;51;31,9%
SO;SP618;PULSE JUMP   ;160;24;15,0%
AC;RZ0302740700R3U;;160;72;45,0%
BB;BB391;;160;0;0,0%
SO;SP801;PULSE PRO 2 MICROFONES ENTRY SEM FIO + RECEIVER   ;158;35;22,2%
AC;RZ0201820500;Mousepad Razer Goliathus Mobile Stealth Control/Speed - Pequeno (215 x 270 mm)   ;153;40;26,1%
AC;MO392;;149;149;100,0%
AC;TC065NAV;;149;0;0,0%
BR;BR2557;TAPETE MAGIC ACQUA PRINCESAS DISNEY LASA   ;144;0;0,0%
BR;BR2366;FIGURAS BRAWL STARS3 PACK SORTIDO   ;141;0;0,0%
SO;SP504;APARELHO ELETRICO PARA AMPLIFICACAO DE SOM PULSE(MARCA) MODELO (PULSEBOX) 6.5 POLEGADAS 600W PARA UTILIZAÇÃO EM AUDIO   ;141;2;1,4%
AC;AC267;COOLER WARRIOR LUIGIA LED VERDE 2 FANS   ;140;44;31,4%
AC;WC057;WEBCAM 2K 30 FPS COM FOCO AUTOMATICO, FILTRO DE PRIVACIDADE, MICROFONE E CONEXÃO USB CABO DE 2M   ;138;18;13,0%
HC;HC487;;138;0;0,0%
BR;BR2364;BRAWL STARS - FIGURAS COLECIONÁVEIS SORTIDAS PACK 1   ;138;0;0,0%
AC;MO341;MOUSE SEM FIO MS300 CONEXÃO USB 1200DPI 3 BOTÕES DESIGN SLIM CLIQUE SILENCIOSO ALIMENTAÇÃO 1 PILHA AA(INCLUSA) ATÉ 12 MESES DE DURAÇÃO BRANCO   ;138;20;14,5%
BR;BR2312;CARRO CONSTRUÇÃO 1:24 RETROESCAVADEIRA R/C 2.4G   ;137;0;0,0%
BR;BR2310;CARRO CONSTRUÇÃO 1:24 ESCAVADEIRA R/C 2.4G   ;137;0;0,0%
BR;BR2311;CARRO CONSTRUÇÃO 1:24 CAMINHÃO CAÇAMBA R/C 2.4G   ;136;0;0,0%
BR;BR2106;PELÚCIA BOB ESPONJA - SEU SIRIGUEJO 25CM   ;136;39;28,7%
BR;BR2488;;136;0;0,0%
AC;CB175;CARREGADOR PORTÁTIL (POWER BANK ) COM DISPLAY LCD 10.000MAH E CARREGAMENTO RÁPIDO   ;133;15;11,3%
SO;PH326;TWS AIRBUD MULTILASER   ;133;10;7,5%
EP;GO064;TORRADEIRA 220V   ;132;0;0,0%
IC;HKM512P81A;;129;0;0,0%
ME;MC164;2X1: LEITOR USB + CARTAO DE MEMORIA CLASSE 10 64GB   ;120;31;25,8%
HC;HC210;;120;120;100,0%
SO;PH333;FONE DE OUVIDO INTRA AURICULAR PULSE PRO BRANCO   ;118;0;0,0%
SO;SP620;PULSE XPLOSION 3 BT/USB/AUX/TWS IPX5   ;118;0;0,0%
BR;BR371;FLAT BALL   ;117;6;5,1%
AC;TC313;Teclado Gamer Warrior Mecânico Royal Score, Full Size, Blue Switch, ABNT2, RGB - Preto   ;116;110;94,8%
EP;EB149;PRANCHA MODELADORA TITANIO DIGITAL   ;115;0;0,0%
AC;TC407;TECLADO SEM FIO TS050 USB MULTIMIDIA PRETO   ;109;42;38,5%
BR;BR1512;PELÚCIA MINNIE C/ MECANISMO LUZ E SOM 40CM - VESTIDO ROSA   ;108;108;100,0%
BR;BR2351;PELÚCIA PLUTO PEEK A BOO C/ MECANISMO 30CM   ;108;12;11,1%
AC;OF009;FRAGMENTADORA DE PAPEL E CARTAO 6 FOLHAS EM TIRAS 10L 127V   ;108;76;70,4%
AC;TC268;TECLADO COM FIO TM700 USB ILUMINACAO LED SLIM 170CM IMPRESSÃO A LASER PT   ;104;19;18,3%
AC;SE237;VIDEO PORTEIRO SMART - WIFI   ;103;0;0,0%
AC;EN080;NOBREAK MULTI 720VA 127V/127V - M1 720VA   ;103;0;0,0%
AC;AC385;APRESENTADOR SEM FIO MULTI PS200 COM LASER POINTER VERMELHO, CONEXÃO USB COM ALCANCE DE 30m E PILHAS INCLUSAS.   ;102;5;4,9%
BR;BR2537;STUMBLE GUYS SÉRIE 3 CÁPSULA MR. STUMBLE COM CÓDIGO DLC - DISPLAY 6PCS   ;102;0;0,0%
NB;NB445;TABLET M10 4G 4/128GB   ;102;6;5,9%
SO;SP613;RETRO VITROLA DE MESA COM TAMPA DE ACRILICO MORRISON 10W BT/AUX/RCA MARCA PULSE MODELO BAZOOKA   ;102;101;99,0%
IC;HKM01TP82A;;100;0;0,0%
IC;HIM324U162A;;100;0;0,0%
PR;PR10128;;100;0;0,0%
BR;BR2521;Pelúcia Bob Esponja - Bob Esponja 45 Cm   ;99;3;3,0%
BR;BR2348;PELÚCIA MINNIE C/ MECANISMO LUZ E SOM 40CM (VESTIDO VERMELHO)   ;97;96;99,0%
NB;NB435;TABLET HOT WHEELS M8 WIFI 4/64GB   ;97;6;6,2%
BR;BR2128;MY STYLE COLEÇÃO LOVE - MINI KIT PULSEIRAS   ;97;0;0,0%
IC;SS551PP;;97;0;0,0%
HC;HC090;;96;0;0,0%
BR;BR2556;TAPETE MAGICO ACQUA AVENGERS LASA   ;96;0;0,0%
BR;BR2558;TAPETE MAGICO ACQUA BARBIE LASA   ;96;0;0,0%
BR;BR2313;MY STYLE - KIT PULSEIRAS DA AMIZADE - M - PASTEL COLORS   ;96;0;0,0%
BR;BR2314;MY STYLE - KIT PULSEIRAS DA AMIZADE - M - RAINBOW   ;96;0;0,0%
AC;WI471;ADAPTADOR DE REDE USB TIPO C PARA RJ45 GIGABIT ETHERNET 1000Mbps   ;95;0;0,0%
AC;TC402;COMBO DE TECLADO E MOUSE SEM FIO CS1100 USB SILENCIOSO DPI AJUSTAVEL DE 800 A 1600 PTO   ;95;0;0,0%
AC;WI448;CABO LIGHTNING MFI NYLON 1.5M BRANCO (IPHONE)   ;95;68;71,6%
BR;BR1814;BABY PAWS 3 MODELOS SORTIDOS   ;93;16;17,2%
AC;GA202;CADEIRA DE ESCRITORIO PRESIDENTE DELUXE   ;92;61;66,3%
DC;DJI038;Drone DJI Mini 3 Standard (Sem tela) BR   ;92;6;6,5%
EP;GO006;PANELA DE ARROZ 10 XICARAS INOX 220V   ;92;4;4,3%
BR;BR2316;MY STYLE - KIT PULSEIRAS DA AMIZADE - G - RAINBOW   ;92;0;0,0%
VD;TL052M;TV 32 POLEGADAS HD MULTI ROKU   ;90;6;6,7%
AC;AC447;HUB DOCK USB TIPO-C 5 EM 1 COM HDMI 4K, RJ45 ETHERNET, USB 3.0 E POWER DELIVERY 100W   ;90;2;2,2%
BR;BR2085;HOT WHEELS CARRO FRICÇÃO SPEED MACHINE COM LUZ E SOM 22CM 3 MOD.   ;89;85;95,5%
AC;GA231;Cadeira de escritório Ergonômica Comfort   ;89;42;47,2%
BR;BR1335;MY STYLE BEAUTY - MALETA LUXO 3 MODELOS SORTIDOS   ;88;84;95,5%
HC;HC055;UMIDIFICADOR FISHER 2,2L   ;87;75;86,2%
AC;GA204;CADEIRA DE ESCRITORIO PRESIDENTE ADAPT BRACO AJUSTAVEL   ;86;38;44,2%
NB;NB381;;86;0;0,0%
AC;TSS932;MALETA PARA NOTEBOOKS TARGUS COMPARTIMENTO ACOLCHOADO 14 POLEGADAS COM ALÇAS RETRÁTEIS PRETO   ;85;0;0,0%
SO;WR208;SMARTWATCH MULTI G2R GPS PRETO   ;84;50;59,5%
AC;MO343;MOUSE SEM FIO MS300 CONEXÃO USB 1200DPI 3 BOTÕES DESIGN SLIM CLIQUE SILENCIOSO ALIMENTAÇÃO 1 PILHA AA(INCLUSA) ATÉ 12 MESES DE DURAÇÃO VERMELHO   ;84;20;23,8%
SO;PH414;FONE DE OUVIDO BLUETOOTH TWS PULSE BUDS TOUCH BRANCO   ;84;0;0,0%
AC;TC404;COMBO DE TECLADO E MOUSE SEM FIO CS500 USB RECARREGAVEL SILENCIOSO DPI AJUSTAVEL DE 800 A 1600 PRETO   ;83;12;14,5%
AC;TC227;TECLADO NUMERICO COM FIO TFN100 USB TECLA000 COMPACTO 120CM PT   ;83;13;15,7%
VT;TB028M;TV TOSHIBA 40 POL FHD DLED 40V35MS   ;82;0;0,0%
AC;MX003;MESA DIGITALIZADORA SLIM BLUETOOTH   ;81;0;0,0%
AC;MO406;MOUSE SEM FIO MULTIMODE MSINFINITY 2.4GHZ + BLUETOOTH COM SMART SCROLL + SCROLL LATERAL CLIQUE SILENCIOSO 7 BOTÕES DPI AJUSTÁVEL 1000-3000 PILHAS INCLUSAS   ;81;0;0,0%
AC;TSS898;MALETA PARA NOTEBOOKS BUSINESS CASUAL TARGUS ACOLCHOADO 15.6 POLEGADAS 1 COMPARTIMENTO PRINCIPAL 1 COMPARTIMENTO PARA ACESSÓRIOS   ;80;0;0,0%
AC;MO398;Mouse Warrior Hive com fio - 7 Botões - RGB - 16000DPI - Pixart 3389 - Preto   ;80;80;100,0%
AC;AC392;;80;0;0,0%
IC;SS550ASE;;80;0;0,0%
DC;DJI067;Drone DJI Mini 5 Pro Fly More Combo (Com tela) BR   ;78;20;25,6%
EP;CE271;AQUECEDOR DE ALIMENTOS TRIVOLT S/USO DE AGUA E CAPACIDADE 1L COM PLUG VEICULAR   ;78;0;0,0%
AC;EN083;NOBREAK MULTI 1000VA 127V/127V - M1 1000VA   ;77;0;0,0%
BR;BR2263;HOT WHEELS TRACK RIPPER 42CM FRICÇÃO COM LUZ E SOM VERMELHO   ;77;77;100,0%
BR;BR1916;BONECA PRINCESAS DISNEY ARTICULADA - ARIEL- 38CM   ;76;16;21,1%
DC;DJI131;Estabilizador DJI Osmo Mobile 7 BR   ;76;44;57,9%
BR;BR2494;Dino Attack Mordida do Dino Com Som   ;75;2;2,7%
DC;DJI068;Drone DJI Mini 5 Pro Fly More Combo Plus (Com tela) BR   ;74;3;4,1%
HC;HC204;;73;20;27,4%
BR;BR2139;MY STYLE - TRANÇADOR DE CABELO   ;73;0;0,0%
ME;MC162;2X1: LEITOR USB + CARTAO DE MEMORIA CLASSE 10 16GB   ;72;70;97,2%
AC;TBB649;MOCHILA TARGUS TERRA ECOSMART PARA NOTEBOOK 16 POLEGADAS PRETO   ;71;49;69,0%
BR;BR1918;BONECA PRINCESAS DISNEY ARTICULADA - BELLA - 38CM   ;70;4;5,7%
BR;BR2490;Mini Jogo De Futebol Portatil   ;70;5;7,1%
SO;PH429;;70;69;98,6%
AC;RZ0304470200;;70;0;0,0%
EP;GO026;CHALEIRA INOX 220V   ;69;0;0,0%
BR;BR2538;STUMBLE GUYS SÉRIE 3 - FIGURAS DE AÇÃO SORTIDAS 7.5CM - 1 PACK   ;66;0;0,0%
EP;CE077;MINI PROCESSADOR RÁPIDO CHEF 220V | 100W DE POTÊNCIA | FACILIDADE NO PREPARO | ALTA VELOCIDADE | TECNOLOGIA SAFE TOUCH | BOTÃO PULSAR | LÂMINA EM AÇO INOX | PÉS ANTIDERRAPANTES | MULTI HOME   ;66;2;3,0%
BR;BR1915;BONECA PRINCESAS DISNEY ARTICULADA - CINDERELLA - 38CM   ;66;0;0,0%
AC;WI372;CONVERSOR TYPE C MACHO X VGA 1080P FEMEA   ;65;3;4,6%
DC;DJI1074;Modulo de dados DJI Neo 2 BR   ;65;45;69,2%
HC;HC178;;64;0;0,0%
AC;GA197;CADEIRA DE ESCRITORIO EXECUTIVE CROMADA   ;64;7;10,9%
BR;BR2431;PELÚCIA DISNEY STITCH SLEEP COM MECANISMO DE RESPIRAÇÃO - 45CM   ;63;62;98,4%
AC;TSS995;MALETA PARA NOTEBOOKS SLIPSKIN TARGUS 1 COMPARTIMENTO 15.6 POLEGADAS 1 COMPARTIMENTO PARA ACESSÓRIOS ZÍPERES DE METAL EXTRA DURÁVEIS PRETO   ;63;0;0,0%
BR;BR1147;1 16 RACING CONTROL MIDNIGHT PRETO   ;63;12;19,0%
NB;NB434;TABLET BARBIE M8 WIFI 4/64GB   ;63;6;9,5%
BR;BR1917;BONECA PRINCESAS DISNEY ARTICULADA - BRANCA DE NEVE - 38CM   ;63;0;0,0%
PC;UB842;"ALL IN ONE UB842 i3 10110U 4GB SSD 128GB Windows 11 Home 23.8""   ";62;0;0,0%
DC;DJI1005;Bateria de voo inteligente Plus DJI Mini 3/DJI Mini 3 Pro/DJI Mini 4 Pro   ;62;1;1,6%
SO;SP404;PULSE BURST 850W RMS 15 POL   ;61;2;3,3%
VT;TB038M;TV TOSHIBA 85POL 4K QLED 85C450NS GOOGLE   ;61;0;0,0%
EP;HO473;;61;0;0,0%
SO;PH436;EARPHONE BLUETOOTH TWS PULSE WB300 PRETO   ;60;10;16,7%
BR;BR2564;WORKSHOP JR BOLSA FASHION MEDICO LASA   ;60;0;0,0%
BR;BR1919;BONECA PRINCESAS DISNEY ARTICULADA - RAPUNZEL - 38CM   ;60;0;0,0%
BR;BR1922;BONECA ARTICULADA ANNA – FROZEN 2 - 38CM   ;60;0;0,0%
SO;PH425;;59;59;100,0%
AC;WI218;ADAPTADOR BR-US   ;58;10;17,2%
AC;OF017;FRAGMENTADORA DE PAPEL E CARTÃO 10 FOLHAS EM PARTÍCULAS 15L 127V   ;57;36;63,2%
HC;HC564;;57;57;100,0%
AC;MO397;Mouse Wireless Warrior Dash - 8 Botões - RGB -16000DPI - Pixart 3335   ;57;57;100,0%
AC;WI252;CABO EXTENSOR 3 ENTRADAS RETRATIL   ;57;57;100,0%
DC;DJI127;Microfone DJI Mic Mini (1 TX Microfone + 1 RX Receptor) BR   ;57;0;0,0%
AC;PH424;HEADSET CONEXÃO P3 E USB CABO DE 240cm MICROFONE 270 GRAUS DRIVER 40mm POTÊNCIA 100mW PRETO   ;56;2;3,6%
BR;BR2496;MALETA STITCH - PET SHOP DO STITCH   ;56;54;96,4%
DC;DJI047;Drone DJI Mini 3 Standard (Com tela) BR   ;56;5;8,9%
AC;WI251;FILTRO DE LINHA 6 TOMADAS E 2 ENTRADAS USB   ;55;20;36,4%
AC;AC263;BASE COOLER PARA NOTEBOOK COM 1 VENTILADOR   ;55;1;1,8%
BR;BR1175;;55;54;98,2%
RE;RE168;ROTEADOR RE165 + ROTEADOR RE166 AC1200   ;55;35;63,6%
AC;WI452;CABO USB-C USB-C 1.2M PRETO   ;54;24;44,4%
EP;GO057;PIPOQUEIRA ELETRICA 127V   ;54;0;0,0%
AC;RF009;REFIL DE TINTA PRETO HP 250ML   ;54;0;0,0%
BR;BR1142;1:16 RACING CONTROL SPEED X VERMELHO   ;54;0;0,0%
BR;BR2560;WORKSHOP JR BOLSA CABELEIREIRO LASA   ;54;0;0,0%
BR;BR2531;1:24 Hot Wheels Monster Truck Dino Thunder   ;53;49;92,5%
BR;BR2461;CRY BABIES DREAMY DAY CARE   ;53;48;90,6%
BR;BR1645;1:16 RACING CONTROL THUNDER - AMARELO   ;53;0;0,0%
AC;RF026;Fita para Rotulador Dymo Letratag 10697 Preto sobre Branco Papel 12mm   ;52;20;38,5%
BR;BR1339;1:16 RACING CONTROL SPARK - AZUL E PRETO   ;52;0;0,0%
AC;AC282;BASE COOLER PARA NOTEBOOK COM 6 VENTILADORES E 5 NÍVEIS DE ALTURA   ;51;1;2,0%
AC;RZ0103850100;Mouse Razer DeathAdder Essential Preto - Com fio   ;51;24;47,1%
BR;BR2108;MY STYLE DIY GOOD VIBES   ;51;0;0,0%
DC;DJI1071;Bateria de voo inteligente DJI Mini 5 Pro Plus BR   ;51;47;92,2%
BR;BR1473;MY STYLE - FÁBRICA DE PULSEIRAS DE ELÁSTICO - LUXO   ;51;3;5,9%
BR;BR2435;PELÚCIA GARFIELD CLÁSSICA 36CM   ;50;48;96,0%
BR;BR2495;MALETA STITCH - CAFÉ DO STITCH   ;50;48;96,0%
EP;EB135;ESCOVA ALISADORA LISO AFRODITE INFRARED IONS BIVOLT   ;50;0;0,0%
EP;GO011;MIXER VERMELHO 200W 1 VELOCIDADE 127V   ;50;40;80,0%
DC;DJI056;Drone DJI Air 3S Fly More Combo (Com tela) BR   ;50;1;2,0%
IC;MM441;;50;0;0,0%
BR;BR2510;Blocos Magneticos Mineblocks 17 Blocos - Display 8 Pcs   ;48;0;0,0%
BR;BR2539;STUMBLE GUYS SÉRIE 3 - FIGURAS DE AÇÃO SORTIDAS 7.5CM - 2 PACK   ;48;0;0,0%
BR;BR2425;GLOSS BARBIE - DISPLAY COM 24 UNIDADES - 3 CORES SORTIDAS   ;48;0;0,0%
